Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
158	111026	1149461	0	head_stop	0.00	0
159	111547	1149961	0	ShowTarget	0.00	1
160	113679	1152008	0	MoveTarget	0.00	1
161	113693	1152021	0	ShowTarget	0.00	1
162	113950	1152268	0	head_turned	0.00	0
163	114520	1152814	0	head_stop	0.00	0
164	114936	1153214	0	ShowTarget	0.00	1
165	117207	1155394	0	MoveTarget	0.00	1
166	117228	1155415	0	ShowTarget	0.00	1
167	117506	1155681	0	head_turned	0.00	0
168	118068	1156221	0	head_stop	0.00	0
169	118499	1156635	0	ShowTarget	0.00	1
170	120756	1158801	0	MoveTarget	0.00	1
171	120777	1158821	0	ShowTarget	0.00	1
172	121277	1159301	0	head_turned	0.00	0
173	121583	1159595	0	head_stop	0.00	0
174	122367	1160348	0	ShowTarget	0.00	1
175	124916	1162794	0	MoveTarget	0.00	1
176	124930	1162808	0	ShowTarget	0.00	1
177	125208	1163074	0	head_turned	0.00	0
178	125513	1163367	0	head_stop	0.00	0
179	126291	1164114	0	ShowTarget	0.00	1
180	129083	1166795	0	MoveTarget	0.00	1
181	129097	1166807	0	ShowTarget	0.00	1
182	129326	1167028	0	head_turned	0.00	0
183	129889	1167568	0	head_stop	0.00	0
184	130340	1168001	0	ShowTarget	0.00	1
185	132791	1170354	0	MoveTarget	0.00	1
186	132812	1170374	0	ShowTarget	0.00	1
187	133062	1170614	0	head_turned	0.00	0
188	133361	1170901	0	head_stop	0.00	0
189	134472	1171968	0	ShowTarget	0.00	1
190	136966	1174361	0	MoveTarget	0.00	1
191	136987	1174382	0	ShowTarget	0.00	1
192	137229	1174614	0	head_turned	0.00	0
193	137854	1175214	0	head_stop	0.00	0
194	138244	1175588	0	ShowTarget	0.00	1
195	140917	1178154	0	MoveTarget	0.00	1
196	140931	1178167	0	ShowTarget	0.00	1
197	141216	1178441	0	head_turned	0.00	0
198	141535	1178747	0	head_stop	0.00	0
199	142417	1179594	0	ShowTarget	0.00	1
200	145250	1182314	0	MoveTarget	0.00	1
201	145264	1182327	0	ShowTarget	0.00	1
202	145494	1182547	0	head_turned	0.00	0
203	145792	1182834	0	head_stop	0.00	0
204	146598	1183608	0	ShowTarget	0.00	1
205	148800	1185721	0	MoveTarget	0.00	1
206	148813	1185734	0	ShowTarget	0.00	1
207	149188	1186094	0	head_turned	0.00	0
208	149813	1186694	0	head_stop	0.00	0
209	150695	1187541	0	ShowTarget	0.00	1
210	152862	1189621	0	MoveTarget	0.00	1
211	152876	1189634	0	ShowTarget	0.00	1
212	153182	1189927	0	head_turned	0.00	0
213	153494	1190227	0	head_stop	0.00	0
214	154369	1191067	0	ShowTarget	0.00	1
215	156453	1193067	0	MoveTarget	0.00	1
216	156466	1193080	0	ShowTarget	0.00	1
217	156779	1193381	0	head_turned	0.00	0
218	157168	1193754	0	head_stop	0.00	0
219	157870	1194428	0	ShowTarget	0.00	1
220	160495	1196947	0	MoveTarget	0.00	1
221	160508	1196961	0	ShowTarget	0.00	1
222	160752	1197194	0	head_turned	0.00	0
223	161161	1197587	0	head_stop	0.00	0
224	161864	1198261	0	ShowTarget	0.00	1
225	164328	1200627	0	MoveTarget	0.00	1
226	164342	1200641	0	ShowTarget	0.00	1
227	164620	1200907	0	head_turned	0.00	0
228	164912	1201187	0	head_stop	0.00	0
229	165897	1202134	0	ShowTarget	0.00	1
230	168308	1204447	0	MoveTarget	0.00	1
231	168321	1204461	0	ShowTarget	0.00	1
232	168613	1204740	0	head_turned	0.00	0
233	168981	1205094	0	head_stop	0.00	0
234	169856	1205934	0	ShowTarget	0.00	1
235	172058	1208047	0	MoveTarget	0.00	1
236	172072	1208060	0	ShowTarget	0.00	1
