Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
193	116054	0	0	ChangeTargetWaitTime	0.00	1
194	117436	0	0	ShowTarget	0.00	1
195	118853	0	0	MoveTarget	0.00	1
196	118869	0	0	ShowTarget	0.00	1
197	119082	0	0	TargetHided	0.00	1
198	119083	0	0	ChangeTargetWaitTime	0.00	1
199	120367	0	0	ShowTarget	0.00	1
200	122163	0	0	MoveTarget	0.00	1
201	122179	0	0	ShowTarget	0.00	1
202	122393	0	0	TargetHided	0.00	1
203	122394	0	0	ChangeTargetWaitTime	0.00	1
204	123661	0	0	ShowTarget	0.00	1
205	124855	0	0	MoveTarget	0.00	1
206	124871	0	0	ShowTarget	0.00	1
207	125085	0	0	TargetHided	0.00	1
208	125085	0	0	ChangeTargetWaitTime	0.00	1
209	126345	0	0	ShowTarget	0.00	1
210	127440	0	0	MoveTarget	0.00	1
211	127457	0	0	ShowTarget	0.00	1
212	127671	0	0	TargetHided	0.00	1
213	127672	0	0	ChangeTargetWaitTime	0.00	1
214	128964	0	0	ShowTarget	0.00	1
215	130215	0	0	MoveTarget	0.00	1
216	130231	0	0	ShowTarget	0.00	1
217	130445	0	0	TargetHided	0.00	1
218	130446	0	0	ChangeTargetWaitTime	0.00	1
219	131788	0	0	ShowTarget	0.00	1
220	133772	0	0	MoveTarget	0.00	1
221	133789	0	0	ShowTarget	0.00	1
222	134003	0	0	TargetHided	0.00	1
223	134003	0	0	ChangeTargetWaitTime	0.00	1
224	135262	0	0	ShowTarget	0.00	1
225	136926	0	0	MoveTarget	0.00	1
226	136942	0	0	ShowTarget	0.00	1
227	137156	0	0	TargetHided	0.00	1
228	137156	0	0	ChangeTargetWaitTime	0.00	1
229	138440	0	0	ShowTarget	0.00	1
230	140170	0	0	MoveTarget	0.00	1
231	140186	0	0	ShowTarget	0.00	1
232	140400	0	0	TargetHided	0.00	1
233	140400	0	0	ChangeTargetWaitTime	0.00	1
234	141725	0	0	ShowTarget	0.00	1
235	143389	0	0	MoveTarget	0.00	1
236	143405	0	0	ShowTarget	0.00	1
237	143619	0	0	TargetHided	0.00	1
238	143619	0	0	ChangeTargetWaitTime	0.00	1
239	144846	0	0	ShowTarget	0.00	1
240	146032	0	0	MoveTarget	0.00	1
241	146049	0	0	ShowTarget	0.00	1
242	146262	0	0	TargetHided	0.00	1
243	146263	0	0	ChangeTargetWaitTime	0.00	1
